TestCounter,Size,Time,Iterations
0,100,155800,1664
1,200,147500,4094
2,300,180700,6612
3,400,109900,9185
4,500,120700,11521
5,600,114600,14497
6,700,148600,17005
7,800,142400,19621
8,900,140100,22205
9,1000,134100,24706
10,1100,158100,28207
11,1200,170600,30797
12,1300,156200,33552
13,1400,125300,36140
14,1500,121200,38713
15,1600,177200,41910
16,1700,193500,44327
17,1800,196200,46996
18,1900,208600,49737
19,2000,242200,52573
20,2100,260500,57082
21,2200,258500,59567
22,2300,279600,62002
23,2400,270100,64779
24,2500,315200,67608
25,2600,320700,70569
26,2700,303000,73120
27,2800,333200,75698
28,2900,331800,78107
29,3000,369800,80958
30,3100,372800,84604
31,3200,369600,87085
32,3300,389600,90054
33,3400,398400,92697
34,3500,416300,95616
35,3600,422300,99028
36,3700,430400,101319
37,3800,468600,103745
38,3900,456600,107179
39,4000,511100,110057
40,4100,540500,116784
41,4200,515100,119155
42,4300,518100,121826
43,4400,549300,124882
44,4500,543500,127431
45,4600,547300,129532
46,4700,564600,132617
47,4800,677800,135490
48,4900,610500,138057
49,5000,659800,140746
50,5100,604100,143801
51,5200,645000,146851
52,5300,644400,149584
53,5400,678200,152745
54,5500,712400,154797
55,5600,682500,158063
56,5700,688600,160857
57,5800,703600,163687
58,5900,712100,165975
59,6000,721600,169258
60,6100,748100,172103
61,6200,764300,176571
62,6300,779200,179507
63,6400,786600,181603
64,6500,791900,184620
65,6600,884800,187811
66,6700,826300,190690
67,6800,848800,193777
68,6900,919200,196613
69,7000,866600,198767
70,7100,868900,202127
71,7200,891500,205998
72,7300,923000,208453
73,7400,934400,210981
74,7500,950500,214352
75,7600,940600,216911
76,7700,958100,219987
77,7800,984000,222755
78,7900,985000,225928
79,8000,1028400,228732
80,8100,1035200,231656
81,8200,1070500,243088
82,8300,1112200,245413
83,8400,1102800,247790
84,8500,1107100,250576
85,8600,1096800,253112
86,8700,1115400,255937
87,8800,1155800,258310
88,8900,1156300,261042
89,9000,1149100,263800
90,9100,1276200,267051
91,9200,1259200,269456
92,9300,1185400,272615
93,9400,1190500,275618
94,9500,1205800,278074
95,9600,1219500,281324
96,9700,1249100,284184
97,9800,1245600,286982
98,9900,1270100,289435
99,10000,1365700,292352